County,2020-21 Full- and Part-Time Administrators,"2020-21 Administrators, Average Annual Salary, Dollars","2020-21 Administrators, Average Years Experience","2020-21 Female Administrators, Percent","2020-21 Minority Administrators, Percent",2020-21 Full- and Part-Time Support Personnel,"2020-21 Support Personnel, Average Annual Salary, Dollars",2020-21 Full- & Part-Time PK-12 Teachers,"2020-21 PK-12 Teachers, Average Annual Salary, Dollars","2020-21 PK-12 Teachers, Average Annual Salary, Rank","2020-21 PK-12 Teachers, Average Years Experience","2020-21 PK-12 Teachers with Less Than 1 Year Experience, Percent","2020-21 PK-12 Teachers with More Than 30 Years Experience, Percent","2020-21 PK-12 Teachers with Advanced Degrees, Percent","2020-21 Female PK-12 Teachers, Percent","2020-21 Minority PK-12 Teachers, Percent",2020-21 Students per PK-12 Teacher,2020-21 Public Schools,2019 Public School CCRPI Score
TALBOT,4,121310,29,0.5,1,3,75317,39,58173,66,18,0,0.154,0.692,0.615,0.667,0,1,58.9
TALIAFERRO,7,86140,20,0.714,0.571,3,73755,24,55968,105,14,0.042,0.042,0.708,0.917,0.375,0,1,66.1
TATTNALL,35,88818,25,0.771,0.114,29,66331,272,53927,139,14,0.059,0.048,0.607,0.846,0.114,0,6,69.5
TAYLOR,13,89562,25,0.769,0.385,8,67930,103,58949,57,17,0.019,0.097,0.689,0.786,0.272,0,4,64.4
TELFAIR,15,90921,22,0.533,0.133,10,56757,117,59666,48,16,0.034,0.06,0.684,0.821,0.094,0,4,68.6
TERRELL,17,89593,26,0.765,0.882,11,70636,80,56839,92,16,0.063,0.163,0.725,0.738,0.8,0,3,69.8
THOMAS,35,99987,25,0.571,0.086,46,70660,421,57342,85,14,0.045,0.048,0.606,0.767,0.112,0,7,72.5
TIFT,47,78616,22,0.596,0.191,61,62085,540,55788,107,14,0.07,0.035,0.57,0.809,0.111,0,11,70.3
TOOMBS,23,76436,22,0.609,0.13,24,68380,211,53834,140,15,0.024,0.048,0.595,0.819,0.067,0,5,72.8
TOWNS,10,92963,25,0.6,0,7,67166,83,58592,62,15,0.024,0.096,0.759,0.735,0,0,3,79.6
TREUTLEN,12,89441,21,0.333,0.25,7,66288,77,59328,52,18,0,0.091,0.766,0.831,0.13,0,2,58.8
TROUP,73,95119,22,0.671,0.288,76,66231,788,57436,83,14,0.037,0.048,0.674,0.789,0.214,0,19,70.5
TURNER,14,80499,19,0.5,0.5,10,61434,90,55482,113,12,0.078,0.033,0.6,0.756,0.367,0,3,63.7
TWIGGS,9,95582,18,0.556,0.889,6,77832,50,51720,151,9,0.14,0.02,0.5,0.7,0.7,0.1,3,68.2
UNION,19,94252,22,0.579,0,14,68722,197,62276,17,17,0,0.066,0.772,0.766,0.02,0,5,76.5
UPSON,28,90552,22,0.571,0.25,34,64547,284,55449,114,13,0.095,0.032,0.558,0.77,0.145,0,4,74.9
WALKER,49,86327,23,0.592,0.02,94,62471,665,52375,149,14,0.026,0.042,0.598,0.774,0.042,0,15,73.5
WALTON,59,112428,23,0.525,0.203,82,77444,857,67245,2,17,0.021,0.034,0.769,0.779,0.139,0,15,80.7
WARE,39,97954,22,0.513,0.256,65,64942,436,57022,87,14,0.046,0.041,0.601,0.789,0.14,0,9,75.8
WARREN,5,93347,26,0.6,0.2,5,62283,48,55373,117,13,0.042,0.063,0.563,0.667,0.375,0.1,3,69.5
WASHINGTON,24,89522,23,0.75,0.458,15,68097,198,59793,44,15,0.03,0.035,0.682,0.813,0.379,0,4,68.9
WAYNE,37,79874,24,0.703,0.135,31,62819,361,54923,128,14,0.064,0.042,0.557,0.806,0.089,0,8,73.2
WEBSTER,2,127718,30,1,0.5,5,45890,25,53829,141,18,0,0.08,0.8,0.8,0.4,0.1,2,72.6
WHEELER,11,84655,24,0.636,0.182,10,64191,72,56262,99,17,0.056,0.083,0.625,0.764,0.056,0,3,71.2
WHITE,26,93611,22,0.731,0.077,31,69050,260,60457,37,15,0.031,0.023,0.708,0.769,0.031,0,6,79.6
WHITFIELD,69,78978,24,0.638,1,113,67672,891,60521,36,14,0.027,0.006,0.705,0.778,0.998,0,22,77.9
WILCOX,14,90354,27,0.286,0,7,77637,87,61180,24,19,0.023,0.103,0.77,0.851,0.08,0,3,75.7
WILKES,13,85347,26,0.846,0.231,9,67075,94,54684,132,15,0.064,0.053,0.617,0.745,0.138,0,4,72.2
WILKINSON,14,90346,23,0.857,0.643,7,69251,85,52598,148,11,0.094,0.024,0.565,0.765,0.518,0,4,59.7
WORTH,18,69487,21,0.556,0.278,47,62863,194,56477,97,15,0.036,0.057,0.639,0.82,0.108,0,5,66.4
GEORGIA,"11,106",96095,21,0.683,0.403,"16,096",70051,119273,60549,160,14,0.044,0.035,0.645,0.796,0.326,0,2310,-
,,,,,,,,,,,,,,,,,,,
"Sources: Governor's Office of Student Achievement, Report Card. Downloadable data files.",,,,,,,,,,,,,,,,,,,
"Georgia Department of Education, Student Enrollment by Grade Level (PK-12).",,,,,,,,,,,,,,,,,,,
"Georgia Department of Education, College and Career Ready Performance Index.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Notes: Rank: 1 = highest (range 1-159) When counties share the same rank, a range is shown. Because of rounded data, counties may have identical values shown, but different ranks.",,,,,,,,,,,,,,,,,,,
Advanced Degrees include teachers who hold certificates beyond the four-year level. Minority includes all ethnic groups other than White.,,,,,,,,,,,,,,,,,,,
